iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_relative_start_ns,predicted_relative_end_ns,critical_predecessor,local_wait_ns,predicted_lane_origin_ns,predicted_start_ns,predicted_end_ns
55,rank0:F0,compute,forward,0,0,0,0,0,0,0,0,0,warmup,161589252,0,0,1.7854777448094717e+18,1.785477744971061e+18,0,161589252,,0,1785477744809471652,1785477744809471652,1785477744971060904
55,lane0:F0:s0->s1,pp_message,forward,0,-1,0,0,0,16,0,1,-1,p2p,4712346,4712346,0,,,161589252,166301598,rank0:F0,0,1785477744809471652,1785477744971060904,1785477744975773250
55,rank0:F1,compute,forward,1,0,0,0,0,0,0,0,1,warmup,158603144,0,0,1.7854777449764058e+18,1.7854777451350088e+18,166301598,324904742,lane0:F0:s0->s1,4712346,1785477744809471652,1785477744975773250,1785477745134376394
55,rank16:F0,compute,forward,0,16,1,0,16,16,1,1,0,warmup,325713549,0,0,1.7854777449763914e+18,1.7854777453021048e+18,166301598,492015147,lane0:F0:s0->s1,166301598,1785477744809471652,1785477744975773250,1785477745301486799
55,lane0:F1:s0->s1,pp_message,forward,1,-1,0,0,0,16,0,1,-1,p2p,4712346,4712346,0,,,324904742,329617088,rank0:F1,0,1785477744809471652,1785477745134376394,1785477745139088740
55,rank0:F2,compute,forward,2,0,0,0,0,0,0,0,2,warmup,157677108,0,0,1.7854777453132705e+18,1.7854777454709476e+18,329617088,487294196,lane0:F1:s0->s1,4712346,1785477744809471652,1785477745139088740,1785477745296765848
55,lane0:F2:s0->s1,pp_message,forward,2,-1,0,0,0,16,0,1,-1,p2p,4712346,4712346,0,,,487294196,492006542,rank0:F2,0,1785477744809471652,1785477745296765848,1785477745301478194
55,rank0:F3,compute,forward,3,0,0,0,0,0,0,0,3,warmup,157750901,0,0,1.785477745649481e+18,1.785477745807232e+18,492006542,649757443,lane0:F2:s0->s1,4712346,1785477744809471652,1785477745301478194,1785477745459229095
55,lane0:F0:s1->s2,pp_message,forward,0,-1,1,0,16,32,1,2,-1,p2p,4712346,4712346,0,,,492015147,496727493,rank16:F0,0,1785477744809471652,1785477745301486799,1785477745306199145
55,rank16:F1,compute,forward,1,16,1,0,16,16,1,1,1,warmup,325843846,0,0,1.7854777453131494e+18,1.7854777456389934e+18,496727493,822571339,lane0:F0:s1->s2,4712346,1785477744809471652,1785477745306199145,1785477745632042991
55,rank32:F0,compute,forward,0,32,2,0,32,32,2,2,0,warmup,320464416,0,0,1.7854777453081797e+18,1.785477745628644e+18,496727493,817191909,lane0:F0:s1->s2,496727493,1785477744809471652,1785477745306199145,1785477745626663561
55,lane0:F3:s0->s1,pp_message,forward,3,-1,0,0,0,16,0,1,-1,p2p,4712346,4712346,0,,,649757443,654469789,rank0:F3,0,1785477744809471652,1785477745459229095,1785477745463941441
55,lane0:F0:s2->s3,pp_message,forward,0,-1,2,0,32,48,2,3,-1,p2p,4712346,4712346,0,,,817191909,821904255,rank32:F0,0,1785477744809471652,1785477745626663561,1785477745631375907
55,rank48:F0,compute,forward,0,48,3,0,48,48,3,3,0,warmup,317327036,0,0,1.7854777456338575e+18,1.7854777459511844e+18,821904255,1139231291,lane0:F0:s2->s3,821904255,1785477744809471652,1785477745631375907,1785477745948702943
55,lane0:F1:s1->s2,pp_message,forward,1,-1,1,0,16,32,1,2,-1,p2p,4712346,4712346,0,,,822571339,827283685,rank16:F1,0,1785477744809471652,1785477745632042991,1785477745636755337
55,rank16:F2,compute,forward,2,16,1,0,16,16,1,1,2,warmup,324616519,0,0,1.7854777456494246e+18,1.785477745974041e+18,827283685,1151900204,lane0:F1:s1->s2,4712346,1785477744809471652,1785477745636755337,1785477745961371856
55,rank32:F1,compute,forward,1,32,2,0,32,32,2,2,1,warmup,322897802,0,0,1.7854777456441208e+18,1.7854777459670188e+18,827283685,1150181487,lane0:F1:s1->s2,10091776,1785477744809471652,1785477745636755337,1785477745959653139
55,lane0:F0:s3->s4,pp_message,forward,0,-1,3,0,48,64,3,4,-1,p2p,4712346,4712346,0,,,1139231291,1143943637,rank48:F0,0,1785477744809471652,1785477745948702943,1785477745953415289
55,rank64:F0,compute,forward,0,64,4,0,64,64,4,4,0,warmup,335385833,0,0,1.7854777459565555e+18,1.7854777462919414e+18,1143943637,1479329470,lane0:F0:s3->s4,1143943637,1785477744809471652,1785477745953415289,1785477746288801122
55,lane0:F1:s2->s3,pp_message,forward,1,-1,2,0,32,48,2,3,-1,p2p,4712346,4712346,0,,,1150181487,1154893833,rank32:F1,0,1785477744809471652,1785477745959653139,1785477745964365485
55,lane0:F2:s1->s2,pp_message,forward,2,-1,1,0,16,32,1,2,-1,p2p,4712346,4712346,0,,,1151900204,1156612550,rank16:F2,0,1785477744809471652,1785477745961371856,1785477745966084202
55,rank48:F1,compute,forward,1,48,3,0,48,48,3,3,1,warmup,314210059,0,0,1.7854777459721664e+18,1.7854777462863764e+18,1154893833,1469103892,lane0:F1:s2->s3,15662542,1785477744809471652,1785477745964365485,1785477746278575544
55,rank16:F3,compute,forward,3,16,1,0,16,16,1,1,3,warmup,322506780,0,0,1.7854777459843387e+18,1.7854777463068454e+18,1156612550,1479119330,lane0:F2:s1->s2,4712346,1785477744809471652,1785477745966084202,1785477746288590982
55,rank32:F2,compute,forward,2,32,2,0,32,32,2,2,2,warmup,463063797,0,0,1.7854777459792847e+18,1.7854777464423485e+18,1156612550,1619676347,lane0:F2:s1->s2,6431063,1785477744809471652,1785477745966084202,1785477746429147999
55,lane0:F1:s3->s4,pp_message,forward,1,-1,3,0,48,64,3,4,-1,p2p,4712346,4712346,0,,,1469103892,1473816238,rank48:F1,0,1785477744809471652,1785477746278575544,1785477746283287890
55,lane0:F3:s1->s2,pp_message,forward,3,-1,1,0,16,32,1,2,-1,p2p,4712346,4712346,0,,,1479119330,1483831676,rank16:F3,0,1785477744809471652,1785477746288590982,1785477746293303328
55,lane0:F0:s4->s5,pp_message,forward,0,-1,4,0,64,80,4,5,-1,p2p,4712346,4712346,0,,,1479329470,1484041816,rank64:F0,0,1785477744809471652,1785477746288801122,1785477746293513468
55,rank64:F1,compute,forward,1,64,4,0,64,64,4,4,1,warmup,317320688,0,0,1.7854777463020946e+18,1.7854777466194153e+18,1484041816,1801362504,lane0:F0:s4->s5,4712346,1785477744809471652,1785477746293513468,1785477746610834156
55,rank80:F0,compute,forward,0,80,5,0,80,80,5,5,0,warmup,315057717,0,0,1.7854777462973832e+18,1.7854777466124408e+18,1484041816,1799099533,lane0:F0:s4->s5,1484041816,1785477744809471652,1785477746293513468,1785477746608571185
55,lane0:F2:s2->s3,pp_message,forward,2,-1,2,0,32,48,2,3,-1,p2p,4712346,4712346,0,,,1619676347,1624388693,rank32:F2,0,1785477744809471652,1785477746429147999,1785477746433860345
55,rank32:F3,compute,forward,3,32,2,0,32,32,2,2,3,warmup,317260240,0,0,1.7854777464527168e+18,1.7854777467699768e+18,1624388693,1941648933,lane0:F2:s2->s3,4712346,1785477744809471652,1785477746433860345,1785477746751120585
55,rank48:F2,compute,forward,2,48,3,0,48,48,3,3,2,warmup,315324274,0,0,1.7854777464475013e+18,1.7854777467628255e+18,1624388693,1939712967,lane0:F2:s2->s3,155284801,1785477744809471652,1785477746433860345,1785477746749184619
55,lane0:F0:s5->s6,pp_message,forward,0,-1,5,0,80,96,5,6,-1,p2p,4712346,4712346,0,,,1799099533,1803811879,rank80:F0,0,1785477744809471652,1785477746608571185,1785477746613283531
55,lane0:F1:s4->s5,pp_message,forward,1,-1,4,0,64,80,4,5,-1,p2p,4712346,4712346,0,,,1801362504,1806074850,rank64:F1,0,1785477744809471652,1785477746610834156,1785477746615546502
55,rank96:F0,compute,forward,0,96,6,0,96,96,6,6,0,warmup,317961283,0,0,1.7854777466179776e+18,1.7854777469359388e+18,1803811879,2121773162,lane0:F0:s5->s6,1803811879,1785477744809471652,1785477746613283531,1785477746931244814
55,rank80:F1,compute,forward,1,80,5,0,80,80,5,5,1,warmup,313068007,0,0,1.7854777466244626e+18,1.7854777469375304e+18,1806074850,2119142857,lane0:F1:s4->s5,6975317,1785477744809471652,1785477746615546502,1785477746928614509
55,lane0:F2:s3->s4,pp_message,forward,2,-1,3,0,48,64,3,4,-1,p2p,4712346,4712346,0,,,1939712967,1944425313,rank48:F2,0,1785477744809471652,1785477746749184619,1785477746753896965
55,lane0:F3:s2->s3,pp_message,forward,3,-1,2,0,32,48,2,3,-1,p2p,4712346,4712346,0,,,1941648933,1946361279,rank32:F3,0,1785477744809471652,1785477746751120585,1785477746755832931
55,rank64:F2,compute,forward,2,64,4,0,64,64,4,4,2,warmup,315835668,0,0,1.7854777467680292e+18,1.7854777470838648e+18,1944425313,2260260981,lane0:F2:s3->s4,143062809,1785477744809471652,1785477746753896965,1785477747069732633
55,rank48:F3,compute,forward,3,48,3,0,48,48,3,3,3,warmup,334028881,0,0,1.7854777467750979e+18,1.785477747109127e+18,1946361279,2280390160,lane0:F3:s2->s3,6648312,1785477744809471652,1785477746755832931,1785477747089861812
55,lane0:F1:s5->s6,pp_message,forward,1,-1,5,0,80,96,5,6,-1,p2p,4712346,4712346,0,,,2119142857,2123855203,rank80:F1,0,1785477744809471652,1785477746928614509,1785477746933326855
55,lane0:F0:s6->s7,pp_message,forward,0,-1,6,0,96,112,6,7,-1,p2p,4712346,4712346,0,,,2121773162,2126485508,rank96:F0,0,1785477744809471652,1785477746931244814,1785477746935957160
55,rank112:F0,compute,forward,0,112,7,0,112,112,7,7,0,warmup,316959816,0,0,1.785477746941603e+18,1.785477747258563e+18,2126485508,2443445324,lane0:F0:s6->s7,2126485508,1785477744809471652,1785477746935957160,1785477747252916976
55,rank96:F1,compute,forward,1,96,6,0,96,96,6,6,1,warmup,316836974,0,0,1.7854777469463022e+18,1.7854777472631393e+18,2126485508,2443322482,lane0:F0:s6->s7,4712346,1785477744809471652,1785477746935957160,1785477747252794134
55,lane0:F2:s4->s5,pp_message,forward,2,-1,4,0,64,80,4,5,-1,p2p,4712346,4712346,0,,,2260260981,2264973327,rank64:F2,0,1785477744809471652,1785477747069732633,1785477747074444979
55,rank80:F2,compute,forward,2,80,5,0,80,80,5,5,2,warmup,352583734,0,0,1.7854777470890634e+18,1.785477747441647e+18,2264973327,2617557061,lane0:F2:s4->s5,145830470,1785477744809471652,1785477747074444979,1785477747427028713
