src,dst,edge_type
lane0:B0:s1->s0,rank0:B0,backward_receive
lane0:B0:s1->s0,rank16:B1,blocking_backward_send
lane0:B0:s10->s9,rank144:B0,backward_receive
lane0:B0:s10->s9,rank160:B1,blocking_backward_send
lane0:B0:s11->s10,rank160:B0,backward_receive
lane0:B0:s11->s10,rank176:B1,blocking_backward_send
lane0:B0:s12->s11,rank176:B0,backward_receive
lane0:B0:s12->s11,rank192:B1,blocking_backward_send
lane0:B0:s13->s12,rank192:B0,backward_receive
lane0:B0:s13->s12,rank208:F3,blocking_backward_send
lane0:B0:s14->s13,rank208:B0,backward_receive
lane0:B0:s14->s13,rank224:F2,blocking_backward_send
lane0:B0:s15->s14,rank224:B0,backward_receive
lane0:B0:s15->s14,rank240:F1,blocking_backward_send
lane0:B0:s2->s1,rank16:B0,backward_receive
lane0:B0:s2->s1,rank32:B1,blocking_backward_send
lane0:B0:s3->s2,rank32:B0,backward_receive
lane0:B0:s3->s2,rank48:B1,blocking_backward_send
lane0:B0:s4->s3,rank48:B0,backward_receive
lane0:B0:s4->s3,rank64:B1,blocking_backward_send
lane0:B0:s5->s4,rank64:B0,backward_receive
lane0:B0:s5->s4,rank80:B1,blocking_backward_send
lane0:B0:s6->s5,rank80:B0,backward_receive
lane0:B0:s6->s5,rank96:B1,blocking_backward_send
lane0:B0:s7->s6,rank112:B1,blocking_backward_send
lane0:B0:s7->s6,rank96:B0,backward_receive
lane0:B0:s8->s7,rank112:B0,backward_receive
lane0:B0:s8->s7,rank128:B1,blocking_backward_send
lane0:B0:s9->s8,rank128:B0,backward_receive
lane0:B0:s9->s8,rank144:B1,blocking_backward_send
lane0:B1:s1->s0,rank0:B1,backward_receive
lane0:B1:s1->s0,rank16:B2,blocking_backward_send
lane0:B1:s10->s9,rank144:B1,backward_receive
lane0:B1:s10->s9,rank160:B2,blocking_backward_send
lane0:B1:s11->s10,rank160:B1,backward_receive
lane0:B1:s11->s10,rank176:B2,blocking_backward_send
lane0:B1:s12->s11,rank176:B1,backward_receive
lane0:B1:s12->s11,rank192:B2,blocking_backward_send
lane0:B1:s13->s12,rank192:B1,backward_receive
lane0:B1:s13->s12,rank208:B2,blocking_backward_send
lane0:B1:s14->s13,rank208:B1,backward_receive
lane0:B1:s14->s13,rank224:F3,blocking_backward_send
lane0:B1:s15->s14,rank224:B1,backward_receive
lane0:B1:s15->s14,rank240:F2,blocking_backward_send
lane0:B1:s2->s1,rank16:B1,backward_receive
lane0:B1:s2->s1,rank32:B2,blocking_backward_send
lane0:B1:s3->s2,rank32:B1,backward_receive
lane0:B1:s3->s2,rank48:B2,blocking_backward_send
lane0:B1:s4->s3,rank48:B1,backward_receive
lane0:B1:s4->s3,rank64:B2,blocking_backward_send
lane0:B1:s5->s4,rank64:B1,backward_receive
lane0:B1:s5->s4,rank80:B2,blocking_backward_send
lane0:B1:s6->s5,rank80:B1,backward_receive
lane0:B1:s6->s5,rank96:B2,blocking_backward_send
lane0:B1:s7->s6,rank112:B2,blocking_backward_send
lane0:B1:s7->s6,rank96:B1,backward_receive
lane0:B1:s8->s7,rank112:B1,backward_receive
lane0:B1:s8->s7,rank128:B2,blocking_backward_send
lane0:B1:s9->s8,rank128:B1,backward_receive
lane0:B1:s9->s8,rank144:B2,blocking_backward_send
lane0:B2:s1->s0,rank0:B2,backward_receive
lane0:B2:s1->s0,rank16:B3,blocking_backward_send
lane0:B2:s10->s9,rank144:B2,backward_receive
lane0:B2:s10->s9,rank160:B3,blocking_backward_send
lane0:B2:s11->s10,rank160:B2,backward_receive
lane0:B2:s11->s10,rank176:B3,blocking_backward_send
lane0:B2:s12->s11,rank176:B2,backward_receive
lane0:B2:s12->s11,rank192:B3,blocking_backward_send
lane0:B2:s13->s12,rank192:B2,backward_receive
lane0:B2:s13->s12,rank208:B3,blocking_backward_send
lane0:B2:s14->s13,rank208:B2,backward_receive
lane0:B2:s14->s13,rank224:B3,blocking_backward_send
lane0:B2:s15->s14,rank224:B2,backward_receive
lane0:B2:s15->s14,rank240:F3,blocking_backward_send
lane0:B2:s2->s1,rank16:B2,backward_receive
lane0:B2:s2->s1,rank32:B3,blocking_backward_send
lane0:B2:s3->s2,rank32:B2,backward_receive
lane0:B2:s3->s2,rank48:B3,blocking_backward_send
lane0:B2:s4->s3,rank48:B2,backward_receive
lane0:B2:s4->s3,rank64:B3,blocking_backward_send
lane0:B2:s5->s4,rank64:B2,backward_receive
lane0:B2:s5->s4,rank80:B3,blocking_backward_send
lane0:B2:s6->s5,rank80:B2,backward_receive
lane0:B2:s6->s5,rank96:B3,blocking_backward_send
lane0:B2:s7->s6,rank112:B3,blocking_backward_send
lane0:B2:s7->s6,rank96:B2,backward_receive
lane0:B2:s8->s7,rank112:B2,backward_receive
lane0:B2:s8->s7,rank128:B3,blocking_backward_send
lane0:B2:s9->s8,rank128:B2,backward_receive
lane0:B2:s9->s8,rank144:B3,blocking_backward_send
lane0:B3:s1->s0,rank0:B3,backward_receive
lane0:B3:s10->s9,rank144:B3,backward_receive
lane0:B3:s11->s10,rank160:B3,backward_receive
lane0:B3:s12->s11,rank176:B3,backward_receive
lane0:B3:s13->s12,rank192:B3,backward_receive
lane0:B3:s14->s13,rank208:B3,backward_receive
lane0:B3:s15->s14,rank224:B3,backward_receive
lane0:B3:s2->s1,rank16:B3,backward_receive
lane0:B3:s3->s2,rank32:B3,backward_receive
lane0:B3:s4->s3,rank48:B3,backward_receive
lane0:B3:s5->s4,rank64:B3,backward_receive
lane0:B3:s6->s5,rank80:B3,backward_receive
lane0:B3:s7->s6,rank96:B3,backward_receive
lane0:B3:s8->s7,rank112:B3,backward_receive
lane0:B3:s9->s8,rank128:B3,backward_receive
lane0:F0:s0->s1,rank0:F1,blocking_forward_send
lane0:F0:s0->s1,rank16:F0,forward_receive
lane0:F0:s1->s2,rank16:F1,blocking_forward_send
lane0:F0:s1->s2,rank32:F0,forward_receive
lane0:F0:s10->s11,rank160:F1,blocking_forward_send
lane0:F0:s10->s11,rank176:F0,forward_receive
lane0:F0:s11->s12,rank176:F1,blocking_forward_send
lane0:F0:s11->s12,rank192:F0,forward_receive
lane0:F0:s12->s13,rank192:F1,blocking_forward_send
lane0:F0:s12->s13,rank208:F0,forward_receive
lane0:F0:s13->s14,rank208:F1,blocking_forward_send
lane0:F0:s13->s14,rank224:F0,forward_receive
lane0:F0:s14->s15,rank224:F1,blocking_forward_send
lane0:F0:s14->s15,rank240:F0,forward_receive
lane0:F0:s2->s3,rank32:F1,blocking_forward_send
lane0:F0:s2->s3,rank48:F0,forward_receive
lane0:F0:s3->s4,rank48:F1,blocking_forward_send
lane0:F0:s3->s4,rank64:F0,forward_receive
lane0:F0:s4->s5,rank64:F1,blocking_forward_send
lane0:F0:s4->s5,rank80:F0,forward_receive
lane0:F0:s5->s6,rank80:F1,blocking_forward_send
lane0:F0:s5->s6,rank96:F0,forward_receive
lane0:F0:s6->s7,rank112:F0,forward_receive
lane0:F0:s6->s7,rank96:F1,blocking_forward_send
lane0:F0:s7->s8,rank112:F1,blocking_forward_send
lane0:F0:s7->s8,rank128:F0,forward_receive
lane0:F0:s8->s9,rank128:F1,blocking_forward_send
lane0:F0:s8->s9,rank144:F0,forward_receive
lane0:F0:s9->s10,rank144:F1,blocking_forward_send
lane0:F0:s9->s10,rank160:F0,forward_receive
lane0:F1:s0->s1,rank0:F2,blocking_forward_send
lane0:F1:s0->s1,rank16:F1,forward_receive
lane0:F1:s1->s2,rank16:F2,blocking_forward_send
lane0:F1:s1->s2,rank32:F1,forward_receive
lane0:F1:s10->s11,rank160:F2,blocking_forward_send
lane0:F1:s10->s11,rank176:F1,forward_receive
lane0:F1:s11->s12,rank176:F2,blocking_forward_send
lane0:F1:s11->s12,rank192:F1,forward_receive
lane0:F1:s12->s13,rank192:F2,blocking_forward_send
lane0:F1:s12->s13,rank208:F1,forward_receive
lane0:F1:s13->s14,rank208:F2,blocking_forward_send
lane0:F1:s13->s14,rank224:F1,forward_receive
lane0:F1:s14->s15,rank224:B0,blocking_forward_send
lane0:F1:s14->s15,rank240:F1,forward_receive
lane0:F1:s2->s3,rank32:F2,blocking_forward_send
lane0:F1:s2->s3,rank48:F1,forward_receive
lane0:F1:s3->s4,rank48:F2,blocking_forward_send
lane0:F1:s3->s4,rank64:F1,forward_receive
lane0:F1:s4->s5,rank64:F2,blocking_forward_send
lane0:F1:s4->s5,rank80:F1,forward_receive
lane0:F1:s5->s6,rank80:F2,blocking_forward_send
lane0:F1:s5->s6,rank96:F1,forward_receive
lane0:F1:s6->s7,rank112:F1,forward_receive
lane0:F1:s6->s7,rank96:F2,blocking_forward_send
lane0:F1:s7->s8,rank112:F2,blocking_forward_send
lane0:F1:s7->s8,rank128:F1,forward_receive
lane0:F1:s8->s9,rank128:F2,blocking_forward_send
lane0:F1:s8->s9,rank144:F1,forward_receive
lane0:F1:s9->s10,rank144:F2,blocking_forward_send
lane0:F1:s9->s10,rank160:F1,forward_receive
lane0:F2:s0->s1,rank0:F3,blocking_forward_send
